"","Department","Expense_Category","TotalExpense","TotalBudget"
"299","TRANSPORTATION","R&M - GROUNDS - ROUTINE                           ",4178726.31,913760807
"300","TRANSPORTATION","R&M - GROUNDS - SPECIAL                           ",58358062.46,913760807
"301","TRANSPORTATION","R&M - HARBORS SPECIAL MAINTENANCE                 ",8901718.72,913760807
"302","TRANSPORTATION","R&M - HIGHWAYS                                    ",2545476.4,913760807
"303","TRANSPORTATION","R&M - MACHINERY AND EQUIPMENT - ROUTINE           ",15848089.09,913760807
"304","TRANSPORTATION","R&M - MACHINERY AND EQUIPMENT - SPECIAL           ",3229538.6,913760807
"305","TRANSPORTATION","R&M - MOTOR VEHICLE - NORMAL REPAIR               ",262136.87,913760807
"306","TRANSPORTATION","R&M - OTHERS - ROUTINE                            ",1084552.61,913760807
"307","TRANSPORTATION","R&M - OTHERS - SPECIAL                            ",11222503.24,913760807
"308","TRANSPORTATION","R&M - TAXIWAYS AND RUNWAYS - ROUTINE              ",6329464.45,913760807
"309","TRANSPORTATION","R&M - TAXIWAYS AND RUNWAYS - SPECIAL              ",446095.12,913760807
"310","TRANSPORTATION","REFUND OF CONTRACTORS AND OTHER DEPOSITS          ",57503.1,913760807
"311","TRANSPORTATION","RENTAL OF LAND & BUILDING                         ",67532,913760807
"312","TRANSPORTATION","REPAIRS AND MAINTENANCE                           ",484950.2,913760807
"313","TRANSPORTATION","SCIENTIFIC EQUIPMENT                              ",131273.86,913760807
"314","TRANSPORTATION","SECURITY SERVICES (OTHER THAN COUNTY POLICE)      ",37738787.27,913760807
"315","TRANSPORTATION","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",14877992.02,913760807
"316","TRANSPORTATION","SEWER                                             ",5673934.98,913760807
"317","TRANSPORTATION","STORES PURCHASES FOR REISSUE (DEBIT)              ",758815.68,913760807
"318","TRANSPORTATION","TELEPHONE AND TELEGRAPH                           ",219690.62,913760807
"319","TRANSPORTATION","TRAINING COST AND REGISTRATION FEES               ",224398,913760807
"320","TRANSPORTATION","TRUCKS AND TRAILERS                               ",892644.01,913760807
"321","TRANSPORTATION","WATER                                             ",2689440.33,913760807
